State,FirstDose,SecondDose,MaleVaccinated,FemaleVaccinated
RJ,21320,33835,5759,39780
DL,27566,32979,7542,41912
GJ,56011,19418,15817,39533
RJ,41361,13254,31172,19270
RJ,2107,78927,20982,44186
RJ,16995,71921,38080,6264
MH,19531,46030,45673,40561
GJ,24901,14091,6765,14215
DL,85458,85691,11373,23396
RJ,18111,79112,35037,43985
MH,22273,73682,32279,46112
TN,10428,31166,12404,46593
MP,81763,54167,18225,11236
DL,9620,11449,32321,12995
MH,81934,34698,36953,26100
RJ,43454,31893,27526,31333
MH,75034,79220,49559,18343
MH,61405,31712,16382,2232
DL,54903,13985,30944,7713
RJ,2535,22134,19599,28946
KA,53506,69257,29437,40945
MP,27572,43270,13412,19476
GJ,52996,80708,40858,25707
KA,45928,25687,12654,46163
RJ,15393,53747,45283,48673
GJ,56782,53564,10213,35416
DL,71157,8048,602,6519
GJ,62206,9765,21049,48304
MP,59107,69427,4938,41479
RJ,6371,24159,41522,14422
DL,58304,19828,44544,6880
MH,9794,49569,6198,10999
MP,51750,42352,33327,37040
TN,90733,76074,31092,32700
KA,40762,68890,40460,31285
KA,17172,39448,37726,34947
DL,47659,72279,45265,23292
GJ,40959,15965,30164,39720
GJ,44913,54130,40568,19850
TN,47515,25614,12732,2558
MH,6637,67874,10118,34336
GJ,5314,43526,17697,43648
GJ,39433,85196,699,11767
RJ,31849,844,9276,26378
MH,36903,8130,32132,33920
TN,88520,59088,10314,20621
GJ,81573,27677,37214,32937
MP,55767,21278,43379,44622
DL,11986,85742,19208,21532
MH,29876,79113,10276,41629
GJ,53699,67781,10315,14452
TN,45986,41538,38948,49323
KA,73067,55661,22734,9775
DL,97499,29258,27263,41178
RJ,51772,87747,19331,22184
DL,55666,5350,7523,4056
DL,71835,25542,26765,3273
DL,31793,70527,43379,13833
KA,93101,25356,47481,20410
KA,33909,74041,19466,17984
KA,94500,10975,7463,35963
KA,32569,48122,38550,18039
MP,72098,89137,38545,11244
MP,34069,34480,10880,21950
TN,15489,22111,15662,14863
GJ,19880,75648,41328,31461
KA,17118,58393,40712,16357
KA,59612,80572,21299,35660
TN,62198,64297,17826,677
MH,7359,21532,46143,36514
TN,32686,78204,17698,37053
MH,58615,89844,47954,39904
MP,14829,64276,9983,13308
MP,86504,85888,48570,46973
