sepal_length,sepal_width,petal_length,petal_width,species
7.8,4.12,2.78,1.28,versicolor
4.14,2.15,1.09,1.76,versicolor
7.74,3.94,4.29,0.27,versicolor
7.1,3.12,1.99,0.63,versicolor
5.44,3.65,1.61,0.46,versicolor
7.64,3.91,5.66,1.54,virginica
5.19,3.35,6.0,0.57,versicolor
5.64,2.4,2.35,0.24,virginica
4.39,3.02,2.51,0.83,versicolor
6.63,2.19,1.82,1.73,setosa
4.12,3.72,3.29,1.49,virginica
5.94,4.38,5.33,0.89,setosa
6.73,3.99,4.51,2.1,virginica
7.28,2.97,5.23,0.76,virginica
4.6,3.46,2.14,0.73,setosa
7.02,2.76,4.65,1.44,versicolor
6.88,3.35,5.59,1.25,versicolor
6.24,2.75,2.41,1.17,versicolor
6.34,3.85,4.45,0.47,versicolor
4.37,2.65,3.0,1.31,virginica
6.4,4.41,2.45,0.72,versicolor
5.53,3.65,5.85,1.04,virginica
7.47,2.17,2.74,1.86,virginica
5.25,2.03,1.54,2.35,virginica
6.31,4.49,2.94,1.96,setosa
5.71,2.55,3.24,1.07,setosa
7.51,2.78,4.76,1.52,versicolor
5.02,2.52,5.75,1.89,virginica
