tenure,MonthlyCharges,TotalCharges,InternetService,Churn
50,105.36,713.55,DSL,Yes
58,108.94,3840.49,None,No
42,42.01,4531.09,Fiber,Yes
67,82.29,1020.27,None,No
48,31.15,2613.41,Fiber,No
18,65.9,5366.97,Fiber,No
21,52.23,711.11,Fiber,No
39,51.65,206.77,Fiber,Yes
65,68.26,3584.45,DSL,No
7,92.98,2669.64,DSL,No
23,26.92,4812.27,None,No
35,107.92,5548.39,None,No
41,93.48,1865.01,DSL,Yes
39,37.65,2391.58,Fiber,No
22,113.92,2969.01,None,No
35,70.63,3570.09,None,No
33,119.98,5904.74,DSL,No
43,39.73,4214.25,None,No
45,73.49,2398.34,DSL,Yes
42,49.02,1656.23,Fiber,Yes
28,50.42,5673.29,None,Yes
49,79.11,899.74,Fiber,No
11,112.17,4349.57,Fiber,Yes
69,100.53,5559.83,DSL,No
18,92.39,4021.53,Fiber,No
4,75.92,2596.02,DSL,No
30,112.23,1274.05,DSL,Yes
31,69.24,2268.1,None,No
67,107.38,4270.54,Fiber,No
61,103.4,3932.25,DSL,Yes
8,41.38,5575.06,None,No
52,97.12,5214.48,DSL,No
65,21.22,4915.29,Fiber,No
18,52.28,5477.56,Fiber,No
41,42.96,1730.39,None,Yes
22,70.69,2280.19,None,Yes
27,93.69,2341.37,None,No
16,29.77,3406.66,None,No
18,71.49,4042.49,None,Yes
11,113.84,1791.63,Fiber,Yes
18,42.86,214.83,None,No
4,87.71,2455.41,None,Yes
30,79.29,1920.31,None,Yes
68,21.01,5658.89,None,No
5,67.58,5340.76,Fiber,Yes
62,90.88,5175.83,Fiber,Yes
7,24.4,3952.7,DSL,Yes
33,107.95,2131.31,None,Yes
38,72.01,3338.21,None,Yes
28,23.07,4909.83,Fiber,Yes
52,42.44,681.8,Fiber,No
60,115.37,4826.34,Fiber,No
9,78.23,342.96,None,No
57,30.75,4916.88,DSL,Yes
30,48.75,4864.63,DSL,Yes
29,65.67,400.94,Fiber,No
35,22.1,3800.25,Fiber,Yes
59,61.16,3064.47,Fiber,No
17,68.95,1101.94,Fiber,Yes
60,44.37,975.44,DSL,No
8,78.86,4662.23,DSL,No
13,95.32,3449.39,Fiber,No
33,43.58,5899.69,DSL,No
41,82.05,5895.26,Fiber,No
1,83.96,5956.74,DSL,No
38,114.85,799.83,None,Yes
48,97.83,5635.71,None,Yes
62,104.83,1542.96,DSL,Yes
51,69.04,2803.45,Fiber,No
69,38.53,4568.7,DSL,Yes
58,119.58,1301.36,Fiber,No
5,32.94,3441.24,Fiber,Yes
37,67.15,1196.32,Fiber,No
38,26.81,717.94,Fiber,No
36,114.39,787.7,DSL,Yes
49,116.49,2210.07,DSL,No
1,91.94,127.46,None,No
50,55.0,2606.64,Fiber,No
58,45.44,4018.76,None,Yes
10,46.53,2469.96,DSL,No
51,32.73,606.19,DSL,Yes
49,72.58,469.86,Fiber,No
13,34.18,1740.89,DSL,No
71,51.67,1098.94,Fiber,No
37,82.67,5794.06,None,No
37,92.75,992.26,Fiber,No
31,22.43,4852.23,DSL,No
20,63.01,3558.04,DSL,Yes
39,85.21,3458.79,DSL,Yes
45,105.32,3121.28,None,No
36,67.53,5833.4,Fiber,No
15,116.92,2246.68,None,No
30,46.56,4748.7,DSL,No
52,21.35,3376.24,Fiber,Yes
61,68.38,2434.24,None,Yes
68,45.61,5737.25,Fiber,Yes
30,102.37,3630.06,DSL,No
28,43.28,801.61,None,Yes
4,51.06,2563.48,Fiber,Yes
34,99.12,4711.33,Fiber,No
52,91.51,4193.11,DSL,Yes
28,75.81,5506.41,DSL,Yes
57,90.49,1630.33,DSL,Yes
22,61.86,4573.34,None,No
40,20.53,2813.26,None,Yes
30,21.14,3484.3,Fiber,No
30,71.12,5734.78,Fiber,No
62,28.33,5877.79,None,Yes
59,25.11,5183.39,Fiber,Yes
25,116.55,2218.67,None,Yes
17,105.9,5337.43,Fiber,Yes
65,35.2,3867.79,None,Yes
14,20.07,2636.98,Fiber,Yes
2,114.17,310.88,Fiber,No
3,47.83,4643.76,None,No
67,38.59,3062.42,DSL,No
20,89.15,4738.51,None,Yes
31,30.89,4513.33,None,Yes
40,46.46,4782.05,DSL,Yes
50,117.51,1873.84,Fiber,No
27,83.95,4824.71,DSL,No
13,72.07,3338.19,DSL,Yes
65,59.79,2892.62,DSL,No
2,97.45,4083.24,Fiber,No
37,34.1,226.02,None,No
11,116.73,703.67,DSL,Yes
33,106.11,1823.85,Fiber,No
29,81.77,5899.64,Fiber,Yes
